title,description
Business Consultant (Entry Level) (PR-1258349:MAS),"Compensation and Perks:
Competitive salary of $62,000Excellent $15K commission, taking your Y1 OTE to $80k!Team socials in a welcoming, inclusive cultureExcellent scope for progression- 9-12 months to Senior SDR!Yearly incentive trips to locations such as Bali and Iceland!401(k) contributionsGenerous PTO planLaptopLucrative bonus/incentive schemesMedical, vision and dental benefitsHybrid work structure
The Role at a Glance:
As a Business Consultant, you’ll provide clients with solutions. Our client requires someone with confident communication skills to apply their knowledge to a consultancy role. You'll use strong communication and collaboration skills along with multiple methods of outreach to speak with high level executives.
Within this role will be responsible for lead generation, cold calling and prospecting potential customers in a fast-paced environment.
Who Our Client Is:
Our client is a leading business travel expert built especially with start-ups, small businesses and medium-sized companies in mind. Powered by the best talent around, they're making business travel simpler, faster and easier.
With offices across the globe, there are myriad opportunities for progression both across the US and around the world!
Who You Are:
An ambitious recent college graduate who is an intelligent, well-spoken self-starter. You have an exceptional work ethic and drive to succeed. You possess exceptional communication and interpersonal skills that you’ll use to expand our clients’ presence in the market.
Requirements:
A 4-year bachelor’s degreeComfortable working in a fast paced environment You will have a competitive nature - i.e. done competitive sportsIdeally you have some hospitality experience Possess exceptional communication and interpersonal skillsAbility to work within a team and independently
Pareto is committed to promoting equality, diversity and inclusion. We encourage and welcome applications from all, irrespective of background or circumstance. Our consultants are happy to discuss any adjustments you require in support of your application."
ASST MANAGER BOWLING CENTER,"Position Description

Oversee operation and maintenance of Bowling Center, supervise personnel. Assists the Bowling Manager in all aspects of center operations and floor management, including equipment and property to facilitate the fulfillment of financial goals and company initiatives.

Job Functions

Assist in administration and supervision of the Bowling Center staff and operationsTeam management and development responsibilities to include recruiting, hiring, training and scheduling of hourly center staff.Leads and influences staff through effective motivation, leveraging individual strengths to ensure customer satisfaction and maximum productivity.Administer disciplinary counseling when necessary.Develops and maintains league business through effective relationships with league bowlers/officersSupport and assist with public and internal promotions.Bookkeeping of financial recordsDevelop and maintain strong levels of communication between management, personnel and customers.Ensures compliance with all applicable occupational, health, and safety regulations and laws.Assume operational control of the Bowling Center in the absence of Bowling Manager.Other duties as assigned by management.

Position Requirements

Job Specifications

Extensive Bowling center experience and promotional background. A working knowledge and proficiency with Microsoft Office programs such as Word and Excel.Must be able to obtain/maintain any necessary certifications and/or licenses as required by local gaming regulations.

We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class."
Retail Stocking Associate,"A Retail Stocking Associate (part-time) is a valued member of a high performing team who is empowered & equipped to do their job. You will know why your work matters and take pride in what you do!

The anticipated rate for this position is $15.50 per hour depending on location, knowledge, skills, education and experience. Associates (and their families) are eligible to participate in a limited medical, dental, vision, basic life insurance, and short-term disability. Eligible Associates are able to enroll in our company’s 401k plan. Associates can accrue paid time off up to 152 hours per year (inclusive of PTO, floating holidays, and paid holidays). Paid sick time up to 64 hours per year unless otherwise required by law.

Why You’ll Love It

People First CulturePaid time offAssociate discountsMedical/Dental/Vision Insurance for all associatesCompany Matched 401(K)Respectful schedulingClosed on Thanksgiving, Christmas & EasterStable employment with growing companyClear path to promotion with full-time opportunities

What You’ll Do:

Provide a great experience for our customers.Receive, inspect, and stock product.Maintain a safe, clean, and organized store.Other duties as assigned.

RequirementsWho You Are

Must be at least 18 years old.Ability to communicate clearly with customers, and associates.Ability to work evenings, weekends, and holidays as needed. Adherence to attendance policy is necessary. Ability to intermittently lift, push and/or pull up to 50 pounds, and stand/move for entire shift.Ability to lift, bend, kneel, climb, crawl and/or twist, and safely climb up/down a ladder.Physically able and willing to become certified to operate a forklift in accordance with IPP. (Injury, and Illness Prevention Program)"
Food and Beverage - Warehouse 3rd Shift Distributor (Valid FLDL Required),"JOB SUMMARY: Receive, inventory, rotate, label, and stock product that is delivered by the Food and Beverage Warehouse. Team Members will be required to match received items to pick tickets and report any missing items, rotate products in the venues using FIFO (First In First Out), label and date incoming products, ensure that refrigerated and frozen items are kept at the proper temperature according to Food Safety training, and that any expired product is discarded.

Pay Rate: $17.50 per hour

MAJOR RESPONSIBILITIES:

Uses FIFO to place new product behind existing product so that oldest items get used first and properly labeled. Coordinates pallet delivery drop times and locations for the Warehouse. Ensures that the venues are prepared to receive a delivery. Matches product that is received to the pick ticket and informs management of any errors with picks, missing items, or extra items. Monitors temperatures of non-shelf-stable items. Reports any items that are not within the proper temperature range. Ensures that all food products are handled in a safe and sanitary manner. Ensures that all chemicals are kept separate from food items, and are handled with care.  Organizes and cleans area after completing the delivery for the venue. Ensures that drop area is prepared for the Warehouse to pick up any items to be returned (pallets, trams, kegs, crates, bread racks, etc). Works with Warehouse on completing any all deliveries including Drop shipments and Production Kitchen trams. Assists with picking up sweep (kegs, pallets, trams, etc)Understands and actively participates in Environmental, Health & Safety responsibilities by following established UO policy, procedures, training and team member involvement activities. Performs other duties as assigned. 

EDUCATION: High school degree or GED is required.

EXPERIENCE: Prior food service experience preferred, including knowledge of HACCP.

Universal is not accepting unsolicited assistance from search firms for this employment opportunity. All resumes submitted by search firms to any employee at Universal Orlando via-email, the Internet or in any form and/or method without a valid written Statement of Work in place for this position from Universal Orlando HR/Recruitment will be deemed the sole property of Universal Orlando. No fee will be paid in the event the candidate is hired by Universal Orlando as a result of the referral or through other means.

Universal Orlando Resort. Here you can.

Universal Orlando is an equal opportunity employer. Universal elements and all related indicia TM & © 2024 Universal Studios. All rights reserved. EOE"
"Senior Specialist, Network Planning Engineer (IP Network Engineer)","Job Title: Sr Specialist, Network Planning Engineer (IP Network Engineer)

Job Code: 10431

Job Location: Melbourne, FL

Job Description: 

L3Harris is seeking a motivated individual looking for an exciting opportunity to join the team as an IP Network Engineer to support innovative network solutions. The selected candidate will be working on multiple programs and initiatives for L3Harris as the primary contractor. As an IP Network Engineer, supporting the management and implementation of IP network solutions. The selected candidate will collaborate with internal and external teams. Work independently on projects from start to finish, including developing network designs based upon user requirements, creating network diagrams using Visio, configuring network equipment, and full implementation follow-through and documentation of requirements. Will be required to be on-call and work nights, weekends and holidays.

The Network Tier 3 Engineer will be responsible for:

Evaluate technologies and designs in relation to the critical infrastructure and service needs for external customers.Implement solutions that support customer visions and objectives.Participate in inter program initiatives and discussions to resolve technical challenges.Create and maintain documentation and training for engineering and NOC teams.Maintain operational excellence of network system and components to exceed customer expectations.Define and implement best practices for network and capacity management.Identify areas of opportunity for automation and network optimization.Routinely perform proof of concepts and service trials while documenting system integration.Travel as required to meet for requirement meetings and system integration planning.


Qualifications: 

Bachelor’s Degree and minimum 6 years of prior relevant experience. Graduate Degree and a minimum of 4 years of prior related experience. In lieu of a degree, minimum of 10 years of prior related experience. Experience with network engineering or IP networks.


Preferred Additional Skills:

Experience implementing the network design, testing, and building an enterprise network.Experience architecting local area networks, wide area networks, and intranets, for large, distributed communications systems.Experience peering with Tier 1 Internet Service providers, troubleshooting routing within the Internet (experience with looking glass sites).Must be able to demonstrate the ability to configure, implement and support IP network infrastructure.Experience configuring MPLS, ISIS, QoS, BGP, VPLS, AS prepending, route policies, and in-depth BGP troubleshooting and configuring (Route-leaking, BGP attributes (local preference and community’s)) using Cisco XR code.Experienced configuring and troubleshooting OSPF redistribution, costs, and route-maps using Cisco XE code.Experience with Cisco ASR903, ISR3, ASR99xx routers and Cisco Nexus switches.Experience with Cisco’s GetVPN.Experience doing network planning, recommending network upgrades based on network trends and network issues.In depth implementation and troubleshooting experience of IP networks and the ability to think critically in high pressure, confidential environments.Experience with leading network vendors such as Cisco, Juniper, Arista, F5.Experience implementing and managing carrier grade network and network technologies such as Carrier Ethernet, MPLS and SDN technologies.Ability to effectively communicate verbally and in writing.Experienced with power point, giving presentations, and mentoring less experienced engineers.Ability to obtain a security clearance.Work with vendors and end-users on service acceptance / turn up and troubleshooting.Ability to develop presentations and present to management and customers.CCNP or other advanced certification(s), is preferred.Ability to plan, implement, verify, and troubleshoot local and wide-area enterprise networks.Strong enterprise network troubleshooting (Multicast, Layer 2, Cisco IOS(s), IP routing [BGP, ISIS, OSPF, and EIGRP], HSRP and physical layer issues (Ethernet, Optical, TDM)).Strong skill set with Microsoft Office software applications.Experience implementing Fortinet, Cisco, and other SD-WAN solutions."
Contract IT Recruiter,"LaSalle Network has teamed up with a leading automotive manufacturing company that has a presence across North America. We are looking for a talented Contract IT Recruiter  to help this company find and attract the best technical professionals in the industry.

As a  Contract IT Recruiter , you will play a key role in talent acquisition efforts. You will be responsible for sourcing, screening and identifying top technical talent to support their growing team. The ideal candidate has a deep understanding of the technology industry, excellent networking skills and a proven track record in technical recruitment.

 Contract IT Recruiter Responsibilities: 

 Collaborate with hiring managers to understand staffing needs and develop tailored recruitment strategies  Source, screen and interview technical candidates to assess their skills, qualifications and cultural fit  Maintain and build a strong network of potential candidates, staying up to date with industry trends and market conditions  Manage the end-to-end recruitment process, from initial sourcing to offer negotiation and onboarding  Utilize various recruitment tools and platforms to identify and engage top talent  Maintain accurate records and track recruitment metrics to assess the success of your efforts  Provide an exceptional candidate experience throughout the hiring process 

 Contract IT Recruiter Requirements: 

 Proven experience as a technical recruiter, preferably in a contract or agency setting  Deep knowledge of the technology industry and the skills required for various technical roles  Strong interpersonal and communication skills  Exceptional organizational and time management abilities  Ability to work in a fast-paced and dynamic environment  Bachelor's degree in a relevant field preferred 

This position is based in Chicago, IL, with a hybrid work model. You'll have the opportunity to work both in the office and remotely, offering flexibility and work-life balance. If you are interested in this position, please apply today!

Thank you,

Spencer Weiss

Senior Project Manager

LaSalle Network

LaSalle Network is an Equal Opportunity Employer m/f/d/v.

LaSalle Network is the leading provider of direct hire and temporary staffing services. For over two decades, LaSalle has helped organizations hire faster and connect top talent with opportunities, from entry-level positions to the C-suite. With units specializing in Accounting and Finance, Administrative, Marketing, Technology, Supply chain, Healthcare Revenue Cycle, Call Center, Human Resources and Executive Search. LaSalle offers staffing and recruiting solutions to companies of all sizes and across all industries. LaSalle Network is the premier staffing and recruiting firm, earning over 100 culture, revenue and industry-based awards from major publications and having its company experts regularly contribute insights on retention strategies, hiring trends and hiring challenges, and more to national news outlets."
Vice President of Investment,"It's a commission based position you will 1-2% commission from what you're raising do you agree?

Company Description
 
DissFilm. is a fully integrated entertainment company and a global creation, production, distribution, licensing, and marketing firm. As a DissFilm. Discovery company, we have a successful collection of brands in the entertainment industry, including feature films, television, digital and home entertainment, animation, comic books, videogames, and product licensing.

 Role Description
 
This is a part-time remote role for a Vice President of Investment with Investment. As a Vice President of Investment, you will be responsible for managing investment portfolios, conducting financial analysis, evaluating investment opportunities, and developing investment strategies. You will also oversee due diligence processes and collaborate with finance teams to ensure optimal investment decision-making.

 Qualifications
 
Experience in Investment Management, Investments, and FinanceProficiency in conducting Due DiligenceStrong knowledge of Investment StrategiesExcellent analytical and financial modeling skillsAbility to make informed investment decisionsStrong communication and presentation skillsExperience in the entertainment industry is a plusProfessional certifications such as CFA or CPA are beneficial"
HVAC Technician,"Description

Tradesmen International is immediately hiring skilled Journeyman HVAC Technicians for projects located in and around Attica, IN. This is a first shift opportunity with a pay rate that is based on experience & skill level. If you are a HVAC Technician and want to work alongside other proven craftsmen who emphasize safety, productivity and superior craftsmanship, this is your chance to advance your career!

Job Scope

Install duct workSet equipmentOther tasks as assigned

Requirements

Proper PPEHand Tools

Company Details

Tradesmen International not only offers consistent work, top pay, and employment opportunities, we also provide a benefits package that is among the best in the industry.

Our Comprehensive Benefits Include

Tradesmen+ Rewards Program – earn points for hours workedVacation PayHealth insurance401(k) profit-sharing savings planIncentive programsTool purchase programs & MORE!

Tradesmen International is an EO employer - M/F/Veteran/Disability

Click here to visit Tradesmen’s full website. (http://www.tradesmeninternational.com)

Recruiter Name

Jordan Gerwig

Location

US-IN-ATTICA

Posted Date 2 hours ago (4/5/2024 6:14 PM)

Req ID 2024-347496

Category HVAC - Journeyman

Travel No

Location US-IN-ATTICA"
Part-time Nabisco Retail Merchandiser,"Job Description

Join our Mission to Lead the Future of Snacking AT Mondelēz International

Part Time Nabisco Merchandiser

Join our team of Part Time Nabisco Merchandiser and fulfill the merchandising needs of our customers through communication & relationship building, stocking store shelves, and maintaining or changing out displays. Become an ambassador of world-famous brands like Oreo, Ritz, belVita, Chips Ahoy, Triscuit, among other delicious industry-leading snacks.

Represent Mondelēz in front of in-store employees and work closely with sales representative to optimize visibility of Mondelēz products on shelves and to construct promotional displays.Carry out in-store visits according to Mondelēz’ DSD Merchandising Steps.Ensure Nabisco leading brands (Oreo, Ritz, belVita, Chips Ahoy, Triscuit, among others) are well represented, stocked, and maintained through the implementation of Mondelēz’ guidelines.Ensure Sales Representative’s negotiated plans with store managers are being followed and communicate any issues with Mondelēz’ management team.Follow the daily schedule set by the merchandising manager to ensure the most efficient in-store service.Enhance seasonal sales, seasonal displays, and new product launches.Demonstrate positive, and upbeat attitude while representing Mondelēz in store.


For a closer view of what our merchandisers do: Day in the Life of a Mondelez Merchandiser

What you can expect from us:

Hourly compensation rate ranges from $16/hr based on relative experienceMileage reimbursement (according to company policy)Strong career advancement opportunities within the companyHealth and Well-Being ProgramEmployee Assistance Program (EAP)Reimbursement of business internet/data expenses up to $10/per month if company device is not provided.Safety equipment such as kneeling pads, safety knives, and PPE


Who is a good fit?

Be at least 18 years of age, have a valid driver's license and proof of auto insurance.Someone with a positive and professional attitude who is self-motivated and can work independently.Ability to drive your personal vehicle to a variety of store locations (mileage will be reimbursed).Ability to perform hard work in a fast-paced work environment and to meet the defined physical activities like repetitive lifting, bending, and carrying up to 25 lbs. Occasionally, pushing and pulling over 50 lbs. This includes physically moving our products from the stock rooms to store floor and stocking the store’s shelves.Previous retail / grocery experience is a plus.Live within 25 miles range from the primary location (Kalamazoo, MI )Secondary locations: Portage, MISchedule availability required: Tuesday-Saturday 


#ushourly

Business Unit Summary

We are the makers and bakers of iconic brands including Oreo, Chips Ahoy!, Ritz, Triscuit, Swedish Fish, Sour Patch Kids and many others. The United States is the largest market in the Mondelēz International family with a significant employee and manufacturing footprint. Here, we produce our well-loved household favorites to provide our consumers with the right snack, at the right moment, made the right way. We have corporate offices, sales, manufacturing and distribution locations throughout the U.S. to ensure our snacks are close at hand for our consumers across the country.

Mondelēz Global LLC is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected Veteran status, sexual orientation, gender identity, gender expression, genetic information, or any other characteristic protected by law. Applicants who require accommodation to participate in the job application process may contact 847-943-5460 for assistance.

Job Type

Regular

Field Sales

Sales"
Energy Efficiency Engineer,"About Us

We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence.

As a trusted voice for many of the world’s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transformations.

About The Role

DNV is seeking an Energy Efficiency Engineer in Albuquerque New Mexico. This role would serve the New Mexico Region of DNV's energy division. The Energy Efficiency Engineer position involves reviewing and verifying technical merits of business energy efficiency and EV charging station incentive applications. You will also provide technical assistance in the form of trainings, formal presentations, and one-on-one meetings to support project implementation for participating customers and Trade Allies. The job also involves responding to and proactively managing technical inquiries from customers and contractors to drive program participation.

Finally, you will be promoting energy efficiency programs to customers through customer site audits and assessments (virtual and in person) to verify existing equipment and operating conditions while recommend the installation of energy-saving equipment and operational changes.

What Youll Do

Verify technical merits of business energy efficiency and EV charging station incentive applicationsReview, analyze, respond to and advise on detailed engineering specifications and drawings for new applicationsEnter and analyze data through spreadsheets, report templates and web-based tools of energy savings opportunities that were recommended and customer building informationPerform customer site inspections and interact with customers to address questions or concerns about installed equipment or programmatic informationSupport and promote relationships with industry and solution partners to maximize project implementation, promote efficiency, educate customers while sustaining a robust pipeline in excess of program participation goals

What we offer

Generous paid time off (vacation, sick days, company holidays, personal days)Multiple Medical and Dental benefit plans to choose from, Vision benefitsSpending accounts FSA, Dependent Care, Commuter Benefits, company-seeded HSAEmployer-paid, therapist-led, virtual care services through Talkspace401(k) with company matchCompany provided life insurance, short-term, and long-term disability benefitsEducation reimbursement programFlexible work schedule with hybrid/remote opportunitiesCharitable Matched Giving and Volunteer Rewards through our Impact ProgramVolunteer time off (VTO) paid by the company Career advancement opportunities

**Benefits vary based on position, tenure, location, and employee election**

How We Do It

We Care, We Dare, We Share

DNV is a proud equal-opportunity employer committed to building an inclusive and diverse workforce. All employment is decided on the basis of qualifications, merit, or business need, without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status.

DNV is committed to ensuring equal employment opportunity, including providing reasonable accommodations to individuals with a disability. US applicants with a physical or mental disability who require a reasonable accommodation for any part of the application or hiring process may contact the North America Recruitment Department (hrrecruitment.northamerica@dnv.com). Information received relating to accommodations will be addressed confidentially.

DNV is proud to announce being named one of Houstons best places to work in the 2022 Houston Business Journal Best Places to Work competition.

For more information

https://www.eeoc.gov/know-your-rights-workplace-discrimination-illegal

Read more here

Diversity and inclusion in everything we do every day - DNV

Meet our employees - DNV

About DNV

DNV Careers

Please visit our website at www.dnv.com

About You

What is Required

Bachelors degree or higher; degree in Engineering or related field requiredA minimum of 2 years of relevant engineering or field work experience is preferredDemonstrated knowledge of lighting components, HVAC equipment, HVAC and lighting control systems, and building envelop componentsDemonstrated experience with energy codes and standards (IECC, ASHRAE, etc.) and Energy Star componentsKnowledge of ASHRAE level 1 energy auditingMust be able to lead and/or perform on-site and virtual audits and customer site visits in a variety of environments including commercial, industrial, schools and government facilitiesAdvanced skill level in Excel and intermediate level in MS Word is requiredMust be willing and able to travel 25% of the time within New Mexico; some over-night travel requiredReliable transportation and current drivers license is requiredMust be able to lift 40 lbs. up to waist height, to climb a ladder, to kneel, crawl and stand most of the timeWe conduct pre-employment drug and background screening

What Is Preferred

Certified Energy Manager (CEM) or Professional Engineer (PE) certificationStrong customer service capabilityProactively seeks to identify customer needs and manages customer expectations accordinglyA positive, collaborative and team-oriented attitude

*Immigration-related employment benefits, for example visa sponsorship, are not available for this position*"
Production Supervisor - 2nd Shift,"Requisition Number: 171522

Job Description

Cintas is seeking a Production Supervisor - 2nd Shift to lead and direct our Production team. Responsibilities include hiring, training and directing individuals who are performing entry level production positions on one of our fast paced shifts; meeting daily productivity and quality requirements; maintaining inventory control; maintaining safety in the plant; training partners on company safety policies; ensuring compliance with OSHA standards and regulations; and emphasizing a culture of safety at the location overall. This is a management position, with hands-on responsibility and accountability for daily production flow and bottom line results.

Skills/Qualifications

Required

High School Diploma or GED; Bachelor's degree or equivalent work experience preferredValid driver's license

Preferred

Ability to handle the physical requirements of the position, including repeated bending, stretching, twisting and liftingAbility to set and prioritize goalsAvailability to start within two weeks after offer made/accepted

Cintas offers comprehensive and competitive medical, dental and vision benefits, featuring employee health care premiums that are 30% lower than the national average for our industry. One of our medical plan options is even offered at zero cost to our partners.

Additionally, Our Employee-partners Enjoy

 Competitive Pay 401(k)/Profit Sharing/Employee Stock Ownership Program Disability and Life Insurance Packages Paid Time Off and Holidays Career Advancement Opportunities

Headquartered in Cincinnati, Cintas is a publicly held company traded over the Nasdaq Global Select Market under the symbol CTAS and is a component of both the Standard & Poor’s 500 Index and Nasdaq-100 Index.

Cintas Corporation helps more than 900,000 businesses of all types and sizes get READY™ to open their doors with confidence every day by providing a wide range of products and services that enhance our customers’ image and help keep their facilities and employees clean, safe and looking their best. With products and services including uniforms, mats, mops, restroom supplies, first aid and safety products, fire extinguishers and testing, and safety and compliance training, Cintas helps customers get Ready for the Workday®.

To support our growth across North America, we’re seeking driven professionals with ambition to move up within our company. Our professional culture, our dedication to our employee-partners and limitless career opportunities—these are just a few benefits we’re proud to offer. Our employee-partners know every job is critical, and that teamwork drives innovation. Let’s talk about how you’ll fit into our team and how your hard work will be recognized through competitive pay, world-class benefits and ongoing career development. Are you Ready™ for limitless opportunities at Cintas?

Cintas Corporation is an EEO/Affirmative Action Employer and will make all employment-related decisions without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.

Job Category:  Production

Organization: Rental

Employee Status: Regular

Schedule: Full Time

Shift: 2nd Shift"
Sales Executive,"Join the City Lifestyle Team as a Sales Executive
City Lifestyle, formerly known as Lifestyle Publications, has been a powerhouse since its inception in 2009, consistently ranked among the top 5,000 fastest-growing private companies in the United States by ""INC Magazine"". Now, due to our rapid expansion, we're seeking driven individuals with sales or business ownership backgrounds to spearhead luxury publications in their local communities.
About City Lifestyle:Leading producer of luxury publications targeting local cities and communities.Achieved a staggering 1325% growth in publications since 2011.Boasts an impressive 82% read rate, collectively reaching over 6.5 million readers monthly.
Why Work with City Lifestyle?Build your own business with substantial profit margins.Enjoy the autonomy of working for yourself while benefiting from corporate support.Make a tangible difference in your community.No prior industry experience required.One of the lowest franchise investments in the industry
Corporate Support:Comprehensive training and sales support.Assistance with layout and ad design.Handling of publication creation, printing, and mailing.Website design and ongoing support.Access to a customized Customer Relationship Management (CRM) system and Customer Portal.
Key Responsibilities:Cultivate robust relationships and foster a sense of community in the environment where you live, eat, and breathe.Engage with local businesses to comprehensively understand their advertising needs, challenges, and objectives.Proactively pursue and close new business through effective cold calling and in-person sales interactions.
We're on the hunt for individuals who not only aim for the stars but have the dedication to reach them. Comprehensive training in all aspects of publishing is part of the package, ensuring you're well-equipped to thrive. Our expectations are as high as the rewards. Ready to join the ranks of City Lifestyle's elite? Your journey starts now. Apply today!"
Financial Analyst - Multi-Group Physician Practice,"Job Title: Financial Analyst - Multi-Group Physician Practice
Location: Remote(This opportunity is a remote position however, to ensure effective collaboration and coordination with our team, the role requires availability during Eastern Time Zone business hours).
Company Overview:
Personic Health is a leading advanced mobile wound care multi-group physician practice dedicated to delivering high-quality healthcare services to our communities. With a commitment to excellence and innovation, we strive to provide comprehensive care while continuously improving patient outcomes.
Position Overview:We are seeking a dynamic and experienced Financial Analyst to join our team. The ideal candidate will have a strong background in financial management within a multi-group physician practice setting. They will be responsible for overseeing financial operations, reporting, budgeting, strategic planning, and accounting duties to support our organization's growth and success.
Key Responsibilities:Help streamline and drive financial reporting processes, including the preparation of financial statements, P&L analysis, and variance reporting.Oversee inventory management and control procedures to optimize efficiency and minimize costs.Develop and maintain robust business and financial models to support decision-making and strategic planning initiatives.Lead the development of comprehensive financial plans and forecasts to guide organizational growth and expansion.Ensure compliance with taxation requirements and regulations, including oversight of tax planning and reporting activities.Proficiency with accounting software such as QuickBooks and Sage, ensuring accurate and timely financial data management.Prior experience with Sage requiredAssist with accounts payable and accounts receivable processes, including reconciling accounts and ensuring timely payments and collections.Implement internal controls and procedures to safeguard financial assets and ensure compliance with regulatory requirements.Oversee payroll processes, ensuring accurate compensation for healthcare staff.Track and analyze expenses to support budgeting and cost analysis initiatives.Support with revenue cycle management, including billing, collections, and reimbursement processes.Stay informed about changes and updates in accounting standards and regulations relevant to healthcare finance.Collaborate with other departments, such as HR and operations, to ensure accurate financial data and reporting.Implement cost accounting methodologies to analyze and allocate expenses across departments or service lines.Identify opportunities for process improvement and efficiency in accounting operations.Support with financial audits and facilitate the audit process.Maintain fixed assets and depreciation schedules within the organization.Lead financial forecasting and budgeting processes, including variance analysis and budget performance tracking.Ensure compliance with regulatory requirements related to healthcare accounting, such as HIPAA and Medicare billing guidelines.Foster a culture of excellence and high performance within the finance team.
Qualifications:Master’s degree in finance, Accounting, or related field; MBA or CPA preferred.Proven experience in financial analysis within a multi-group physician practice setting, with 5-7 years of relevant experience.Strong understanding of financial reporting, analysis, budgeting, and accounting principles.Extensive knowledge of taxation aspects related to entities within the healthcare industry.Technical proficiency with accounting software (QuickBooks, Sage) and Microsoft Excel.Ability to thrive in a fast-paced, growth-oriented environment.Strong work ethic, high energy, and a commitment to excellence.Sage experience is required
Join our team and make a difference! If you meet the qualifications outlined above and are passionate about financial analysis within the healthcare industry, we encourage you to apply. Please submit your resume and cover letter detailing your relevant experience and why you are the ideal candidate for this position. We look forward to hearing from you."
Real Estate Agent - Kent/Renton,"Hiring experienced real estate agents immediately!

Come join the ranks of Redfin’s top producing real estate agents who consistently close 50 or more deals per year. You’ll enjoy the benefits and perks of being an employee with the autonomy to achieve unparalleled success. Redfin is the best place to take your real estate business to the next level. We take care of you, so you can take care of your customers.

Our mission is to redefine real estate in the consumer's favor and we’re looking for customer-centric agents to help us fulfill that mission. As a full-service brokerage and the most-visited nationwide brokerage website, we combine our own technology with real estate agents to make buying or selling a home faster, easier and more efficient.

Get Everything You Need To Be a Top Producer

100+ serious customer introductions per yearTechnology to drive sales and grow your book of businessDedicated support team to handle scheduling, showing assistance, transaction coordination and moreProfessional marketing and premium placement of listings on Redfin.comSales training and coaching

Competitive Pay

Redfin Agents earn cash compensation in multiple ways, including: a base salary, transaction bonuses for deals closed, event pay for hosting tours or other field events and additional performance bonusesCollect a higher commission split when any of your existing customers go under contract within your first year at Redfin*Obtain additional bonuses for closing transactions with repeat customersMultiply your transaction bonuses as you hit Silver, Gold and President’s Club tiers Top performers can earn a President’s Club trip to an international destinationEarn Redfin stock as you advance

Industry-leading Benefits, Including

Medical, dental and vision plans with low out-of-pocket expensesPaid vacation, holidays, sick leave, parental leave401(k) and Employee Stock Purchase programNo brokerage fees or self-employment costsReimbursement for mileage, MLS dues, license renewal fees, mobile and more

What You'll Do

As a Redfin Agent, you'll spend your time building relationships with customers and helping them buy and sell homes. We'll handle the advertising and logistics while you provide expert guidance through pricing, negotiations and closing. You'll work from home and in the field, with occasional in-office team meetings .

Qualifications

Active and unrestricted real estate license You’ve closed 10 or more residential transactions in the last 24 months or 20 life time transactions (excluding leases)Highly skilled in guiding a customer through the home buying and selling process from beginning to endDeep understanding of market trends, market statistics and accurately pricing a homeExpertise in architectural home styles, neighborhood and subdivision characteristics, city developments, new construction, builders, school districts and local amenitiesWell-versed in contractual language and terminology, state forms and fair housing lawsHighly skilled in evaluating and weighing multiple offers, assessing inspection reports, negotiating and winning for the customerStrong interpersonal communication and customer service skillsAbility to learn and use new technologyReliable mode of transportation and ability to travel within your market

Growth Opportunities

51% of our real estate managers and directors started in agent or support roles. We provide paid training and mentoring to help you meet your goals, move up and even explore other roles at Redfin.

Learn More About Working With Us

https://www.redfin.com/careers/real-estate/agents

Subject to the terms of Redfin’s Transition Client Agreement

The compensation information is provided in compliance with job posting disclosure requirements in Hawaii, Colorado, New York, New Jersey, Washington, and California.

Base Pay Range: $19,000.00 - 23,000.00. Actual base pay will depend on varying circumstances, including the position, location, individual qualifications, market finances, and other operational business needs. Depending on the position, compensation may also include commissions, bonuses, and equity.

Redfin offers a generous benefits package that includes 15 paid vacation days, 12 paid holidays, paid parental leave, sick leave, and flex days; medical, dental, and vision insurance benefits; flexible spending account, health savings account, life and disability insurance; fertility benefits, commuter benefits, Employee Assistance Programs; and 401(k) employer match.

Redfin is an equal opportunity employer committed to hiring a diverse workforce.

A diverse, inclusive culture is vital to Redfin's mission of making real estate better for people from all walks of life. We’re proud that Redfin is a place where different points of view and backgrounds are encouraged and respected. We constantly strive to build a company that reflects the world around us, based on our conviction that pursuing and developing talent of all types is the right way for a business to thrive over the long haul.

Redfin provides equal employment opportunities to all employees and applicants for employment and prohibit discrimination based on race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, and any other characteristic protected by applicable federal, state or local law. If you need accommodation in the application or recruitment process because of a disability or special need, please contact recruitingteam@redfin.com

Redfin encourages individuals with criminal record histories to apply for employment and considers such individuals for employment consistent with the requirements of any applicable fair chance acts, including but not limited to the San Francisco and Los Angeles Fair Chance Acts. Philadelphia applicants can access a copy of Philadelphia Fair Criminal Records Screening Standards ordinance poster here.

Redfin accepts applications on an ongoing basis."
